"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"agronomy_farm",1,5.94,73,4631,"W","F",9.1102229569898e-05,1.51837049283163e-05,2.55617928086134,0.871211330424281,2.25944822033352,1.49148622683492
"agronomy_farm",10,5.76,82,685,"S","F",1.34754971400087e-05,2.24591619000144e-06,0.389916005208584,0.294246372897268,0.155206762571125,1.23280236925856
"agronomy_farm",11,5.35,83,815,"S","B",1.60328907578205e-05,2.67214845963675e-06,0.499467001801263,0.371228475921134,0.197867534460211,1.29620583012739
"agronomy_farm",12,5.27,84,805,"S","C",1.5836168171835e-05,2.6393613619725e-06,0.500827582916983,0.402551592958667,0.278403066559066,0.705997898463991
"agronomy_farm",13,5.55,85,495,"S","C",9.73776800628364e-06,1.62296133438061e-06,0.292425465654163,0.402551592958667,0.278403066559066,0.791127257796494
"agronomy_farm",14,5.68,86,519,"S","F",1.02099022126489e-05,1.70165036877482e-06,0.299586332530778,0.294246372897268,0.155206762571125,0.0688109144865758
"agronomy_farm",15,5.34,87,628,"S","B",1.23541783998912e-05,2.05902973331519e-06,0.385586092381122,0.371228475921134,0.197867534460211,0.145123519117541
"agronomy_farm",16,5.49,88,504,"W","B",9.91481833367061e-06,1.65246972227843e-06,0.300996306425944,0.621000535522074,1.36487000967,0.468915320622364
"agronomy_farm",17,6.15,89,343,"W","F",6.74758469930361e-06,1.12459744988393e-06,0.182861373964867,0.871211330424281,2.25944822033352,0.609308016235757
"agronomy_farm",18,5.65,90,450,"W","C",8.85251636934876e-06,1.47541939489146e-06,0.261136176086984,0.406800387846815,0.55767739828892,0.522395966581258
"agronomy_farm",19,5.96,91,364,"S","F",7.16070212987322e-06,1.19345035497887e-06,0.200243348150817,0.294246372897268,0.155206762571125,1.21132640342746
"agronomy_farm",2,5.17,74,2591,"W","B",5.09708220288503e-05,8.49513700480838e-06,1.64315996224534,0.621000535522074,1.36487000967,1.49781212786762
"agronomy_farm",20,5.7,92,476,"S","C",9.36399509291113e-06,1.56066584881852e-06,0.273801026108513,0.402551592958667,0.278403066559066,0.924922045158861
"agronomy_farm",21,5.36,93,432,"S","B",8.49841571457481e-06,1.4164026190958e-06,0.26425421998056,0.371228475921134,0.197867534460211,1.08127142972093
"agronomy_farm",22,5.63,94,393,"W","C",7.73119762923125e-06,1.28853293820521e-06,0.228869083162559,0.406800387846815,0.55767739828892,0.638115531417228
"agronomy_farm",23,5.94,95,414,"W","B",8.14431505980086e-06,1.35738584330014e-06,0.228516135235714,0.621000535522074,1.36487000967,0.575123487959492
"agronomy_farm",24,6.05,96,507,"W","F",9.97383510946627e-06,1.66230585157771e-06,0.27476129778144,0.871211330424281,2.25944822033352,0.527960789076901
"agronomy_farm",3,5.12,75,1283,"W","C",2.52395077819432e-05,4.20658463032387e-06,0.821598560610132,0.406800387846815,0.55767739828892,1.4875918372737
"agronomy_farm",4,5.51,76,564,"S","B",1.10951538495838e-05,1.84919230826396e-06,0.33560658952159,0.371228475921134,0.197867534460211,0.360057919524
"agronomy_farm",5,5.81,77,509,"S","F",1.00131796266634e-05,1.66886327111056e-06,0.287239805698892,0.294246372897268,0.155206762571125,0.0902868803176653
"agronomy_farm",6,5.3,78,878,"S","C",1.72722430495294e-05,2.87870717492156e-06,0.543152297155011,0.402551592958667,0.278403066559066,1.01005140449136
"agronomy_farm",7,5.55,79,527,"W","B",1.03672802814373e-05,1.72788004690622e-06,0.311329738181301,0.621000535522074,1.36487000967,0.45377331928576
"agronomy_farm",8,5.61,80,540,"W","C",1.06230196432185e-05,1.77050327386975e-06,0.315597731527585,0.406800387846815,0.55767739828892,0.327080339275216
"agronomy_farm",9,5.29,81,760,"W","F",1.49509165349001e-05,2.49181942248335e-06,0.471043369089481,0.871211330424281,2.25944822033352,0.354217421522261
"allstar_mine_1",1,5.26,1,755,"W","F",1.48525552419074e-05,2.47542587365123e-06,0.470613283964112,0.343169566596955,0.196176774341272,1.299274267253
"allstar_mine_1",10,5.53,10,508,"S","F",9.99350736806482e-06,1.66558456134414e-06,0.301190698253913,0.361140517224601,0.137457911391266,0.872264366072676
"allstar_mine_1",11,5.24,11,739,"S","C",1.45377991043305e-05,2.42296651738842e-06,0.462398190341301,0.408285730645993,0.159727023354004,0.677561737006498
"allstar_mine_1",12,5.56,12,592,"S","B",1.16459770903433e-05,1.94099618172388e-06,0.34910003268415,0.43186612308151,0.352169469962711,0.470035579212035
"allstar_mine_1",13,5.95,13,353,"W","B",6.94430728528914e-06,1.15738454754819e-06,0.194518411352637,0.304829846185577,0.203116543010228,1.08618858117711
"allstar_mine_1",14,5.57,14,475,"W","F",9.34432283431258e-06,1.5573871390521e-06,0.279602717962674,0.343169566596955,0.196176774341272,0.648056823726734
