"site","plot","poxc"
"allstar_mine_1","offsite 1",852.874803333333
"allstar_mine_1","offsite 2",455.924751866667
"allstar_mine_1","offsite 3",1322.68467066667
"allstar_mine_2","offsite 1",1113.49457633333
"allstar_mine_2","offsite 2",1075.65104456667
"allstar_mine_2","offsite 3",976.412205666667
"goshen","offsite 1",944.5454454
"goshen","offsite 3",830.2890572
"jackson_mill","offsite 1",1246.05191233333
"jackson_mill","offsite 2",942.578105833333
"jackson_mill","offsite 3",1051.089739
