"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour","mean","two.sd","zscore"
"agronomy_farm","1",4.99,130,3797,"W","F",7.4695565898705e-05,3.73477829493525e-05,7.4845256411528,"24",4.87671287600428,3.52856404386709,1.47811559191116
"agronomy_farm","10",4.98,139,3141,"S","F",6.17905642580543e-05,3.08952821290272e-05,6.20387191345927,"24",4.62638401160169,2.72721869643576,1.15684738002069
"agronomy_farm","11",5.03,140,2582,"S","B",5.07937717014633e-05,2.53968858507317e-05,5.04908267410172,"24",5.78820934947729,2.03041273462859,0.728055594579173
"agronomy_farm","12",4.99,141,7055,"S","C",0.00013878778441279,6.9393892206395e-05,13.9065916245281,"24",10.5029366840193,8.32441154585935,0.817752683600029
"agronomy_farm","13",4.94,142,7181,"S","C",0.000141266488996208,7.06332444981038e-05,14.2982276311951,"24",10.5029366840193,8.32441154585935,0.911846062936099
"agronomy_farm","14",5.03,143,2585,"S","F",5.0852788477259e-05,2.54263942386295e-05,5.05494915280904,"24",4.62638401160169,2.72721869643576,0.314287329994805
"agronomy_farm","15",4.96,144,3332,"S","B",6.55479656503779e-05,3.2773982825189e-05,6.60765782765907,"24",5.78820934947729,2.03041273462859,0.807174289449744
"agronomy_farm","16",4.97,145,2702,"W","B",5.31544427332897e-05,2.65772213666448e-05,5.34752945002914,"24",5.78400578226039,5.78552440111089,0.150885659439077
"agronomy_farm","17",4.97,146,1869,"W","F",3.67674513206952e-05,1.83837256603476e-05,3.69893876465746,"24",4.87671287600428,3.52856404386709,0.66756567074013
"agronomy_farm","18",4.97,147,2692,"W","C",5.29577201473041e-05,2.64788600736521e-05,5.32773844540283,"24",5.06988145746908,1.69292050915964,0.304629764408436
"agronomy_farm","19",4.98,148,2173,"S","F",4.27478179346552e-05,2.13739089673276e-05,4.29194959183285,"24",4.62638401160169,2.72721869643576,0.245256766687549
"agronomy_farm","2",5.05,131,1977,"W","B",3.88920552493389e-05,1.94460276246694e-05,3.8506985395385,"24",5.78400578226039,5.78552440111089,0.668325672380075
"agronomy_farm","20",5.11,149,3489,"S","C",6.86365102503507e-05,3.43182551251754e-05,6.71590119866445,"24",10.5029366840193,8.32441154585935,0.90986262860551
"agronomy_farm","21",5.09,150,3475,"S","B",6.8361098629971e-05,3.41805493149855e-05,6.71523562180461,"24",5.78820934947729,2.03041273462859,0.913140719142401
"agronomy_farm","22",5.01,151,3079,"W","C",6.05708842249441e-05,3.0285442112472e-05,6.04499842564312,"24",5.06988145746908,1.69292050915964,1.15199380348708
"agronomy_farm","23",5.01,152,2006,"W","B",3.94625507486969e-05,1.97312753743485e-05,3.93837831823323,"24",5.78400578226039,5.78552440111089,0.638015618315525
"agronomy_farm","24",4.98,153,2235,"W","F",4.39674979677655e-05,2.19837489838828e-05,4.41440742648248,"24",4.87671287600428,3.52856404386709,0.262036025858918
"agronomy_farm","3",5.05,132,2065,"W","C",4.06232140060115e-05,2.03116070030058e-05,4.02210039663481,"24",5.06988145746908,1.69292050915964,1.23783846337166
"agronomy_farm","4",5.09,133,2474,"S","B",4.86691677728196e-05,2.43345838864098e-05,4.78086127434378,"24",5.78820934947729,2.03041273462859,0.992259414012972
"agronomy_farm","5",5.01,134,1505,"S","F",2.9606749190822e-05,1.4803374595411e-05,2.95476538830559,"24",4.62638401160169,2.72721869643576,1.22587794332795
"agronomy_farm","6",5.02,135,3619,"S","C",7.11939038681626e-05,3.55969519340813e-05,7.0910262816895,"24",10.5029366840193,8.32441154585935,0.819736117930617
"agronomy_farm","7",5.06,136,5144,"W","B",0.000101194098230956,5.05970491154778e-05,9.99941682124067,"24",5.78400578226039,5.78552440111089,1.45722695013468
"agronomy_farm","8",5.01,137,2488,"W","C",4.89445793931994e-05,2.44722896965997e-05,4.88468856219555,"24",5.06988145746908,1.69292050915964,0.218785104523849
"agronomy_farm","9",5.02,138,1995,"W","F",3.92461559041128e-05,1.96230779520564e-05,3.90897967172439,"24",4.87671287600428,3.52856404386709,0.548513895312112
"agronomy_farm","off-site 1",4.98,154,1327,NA,NA,2.61050871602796e-05,1.30525435801398e-05,2.62099268677506,"24",5.07112871247169,7.82346107263779,0.626356034227837
"agronomy_farm","off-site 2",4.99,155,1527,NA,NA,3.00395388799901e-05,1.50197694399951e-05,3.00997383567035,"24",5.07112871247169,7.82346107263779,0.526916375671667
"agronomy_farm","off-site 3",5.04,156,4910,NA,NA,9.65907897188943e-05,4.82953948594471e-05,9.58241961496967,"24",5.07112871247169,7.82346107263779,1.1532724098995
"allstar_mine_1","1",5.03,55,3112,"W","F",6.12200687586963e-05,3.06100343793482e-05,6.08549391239526,"24",5.23756789087277,2.1586475385304,0.785608587217305
"allstar_mine_1","10",5.06,64,3112,"S","F",6.12200687586963e-05,3.06100343793482e-05,6.04941390896209,"24",6.94250442994834,4.22626284898457,0.422638417390831
"allstar_mine_1","11",5.11,65,3108,"S","C",6.11413797243021e-05,3.0570689862151e-05,5.98252247791606,"24",6.80870639347988,2.40641215466844,0.686652046667089
"allstar_mine_1","12",5.05,66,3679,"S","B",7.23742393840757e-05,3.61871196920379e-05,7.16576627565107,"24",6.85161788247046,0.779431158265896,0.806096574018243
"allstar_mine_1","13",5.11,67,2519,"W","B",4.95544194097545e-05,2.47772097048773e-05,4.84876902248087,"24",4.94221067466131,0.654630244991293,0.285479178193735
"allstar_mine_1","14",5.07,68,1898,"W","F",3.73379468200532e-05,1.86689734100266e-05,3.68224327613937,"24",5.23756789087277,2.1586475385304,1.4410176621907
"allstar_mine_1","15",4.98,69,4145,"W","C",8.15415118910014e-05,4.07707559455007e-05,8.18689878423708,"24",6.36383874907213,3.28801085121762,1.1089136366383
"allstar_mine_1","16",5.04,70,5075,"S","F",9.98367123876554e-05,4.99183561938277e-05,9.90443575274359,"24",6.94250442994834,4.22626284898457,1.40167870699614
"allstar_mine_1","17",4.98,71,3509,"S","B",6.90299554223218e-05,3.45149777111609e-05,6.93071841589576,"24",6.85161788247046,0.779431158265896,0.202969903336386
"allstar_mine_1","18",5.02,72,4371,"S","C",8.59874423342743e-05,4.29937211671371e-05,8.56448628827433,"24",6.80870639347988,2.40641215466844,1.45925118553631
"allstar_mine_1","19",5.04,73,2322,"W","B",4.56789844658396e-05,2.28394922329198e-05,4.53164528430948,"24",4.94221067466131,0.654630244991293,1.25434287063008
"allstar_mine_1","2",5.03,56,2607,"W","C",5.12855781664271e-05,2.56427890832136e-05,5.09796999666274,"24",6.36383874907213,3.28801085121762,0.769990617239364
"allstar_mine_1","20",5.03,74,3741,"W","C",7.3593919417186e-05,3.6796959708593e-05,7.31549894803042,"24",6.36383874907213,3.28801085121762,0.578866823755081
"allstar_mine_1","21",5.07,75,3001,"W","F",5.9036448054257e-05,2.95182240271285e-05,5.82213491659339,"24",5.23756789087277,2.1586475385304,0.54160488480541
"allstar_mine_1","22",5.08,76,3137,"S","C",6.17118752236601e-05,3.08559376118301e-05,6.07400346689568,"24",6.80870639347988,2.40641215466844,0.610621023633772
"allstar_mine_1","23",5,77,3195,"S","B",6.28528662223762e-05,3.14264331111881e-05,6.28528662223762,"24",6.85161788247046,0.779431158265896,1.45319122600342
