"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour"
"allstar_mine_2","off-site 2",4.99,101,1883,NA,NA,3.70428629410749e-05,6.17381049017915e-06,1.23723657117819,"72"
"allstar_mine_2","off-site 3",4.96,102,3341,NA,NA,6.57250159777649e-05,1.09541693296275e-05,2.20850188097328,"72"
"goshen","off-site 1",4.99,52,2834,NA,NA,5.57511808682986e-05,9.29186347804977e-06,1.86209688938873,"72"
"goshen","off-site 2",4.98,53,4208,NA,NA,8.27808641827102e-05,1.37968106971184e-05,2.77044391508401,"72"
"goshen","off-site 3",5.04,54,3213,NA,NA,6.32069668771501e-05,1.0534494479525e-05,2.09017747609623,"72"
"jackson_mill","off-site 1",5.01,127,2893,NA,NA,5.69118441256133e-05,9.48530735426888e-06,1.89327492101175,"72"
"jackson_mill","off-site 2",4.98,128,2050,NA,NA,4.03281301270332e-05,6.72135502117221e-06,1.34966968296631,"72"
"jackson_mill","off-site 3",5.06,129,2322,NA,NA,4.56789844658396e-05,7.61316407763993e-06,1.50457788095651,"72"
"reedsville","off-site 1",5,25,1705,NA,NA,3.35412009105325e-05,5.59020015175542e-06,1.11804003035108,"72"
"reedsville","off-site 2",5.06,26,2318,NA,NA,4.56002954314454e-05,7.60004923857423e-06,1.5019860155285,"72"
"reedsville","off-site 3",4.98,27,2819,NA,NA,5.54560969893203e-05,9.24268283155339e-06,1.85596040794245,"72"
