"site","plot","bg_activity","date","crop","treatment","per_activity","ratio","log_ratio","land_type"
"Goshen Road","3",122.527007512948,"May 2022","S","C",1.02626095922002,119.391667793805,4.782409414552,"Mine"
"Goshen Road","4",151.314621157303,"May 2022","W","C",0.931002053553052,162.528772713045,5.09085504894553,"Mine"
"Goshen Road","5",99.6440586179168,"May 2022","W","B",1.01349070873622,98.317683387713,4.58820390301633,"Mine"
"Goshen Road","6",202.072605856125,"May 2022","W","C",0.882444486105042,228.991861854153,5.43368646516797,"Mine"
"Goshen Road","8",151.636325577336,"May 2022","W","C",0.76585938473424,197.994995687042,5.28824175606726,"Mine"
"Goshen Road","9",268.165757417048,"May 2022","W","C",0.695459221689699,385.595228380907,5.95478818812898,"Mine"
"Goshen Road","10",142.550822344885,"May 2022","S","C",0.559291618721907,254.877451356489,5.54078284672572,"Mine"
"Goshen Road","11",175.510997333246,"May 2022","S","B",0.900262472107447,194.955363320197,5.27277062631049,"Mine"
"Goshen Road","12",121.797288523881,"May 2022","S","C",1.64488873349633,74.0459132849623,4.30468535060156,"Mine"
"Goshen Road","14",109.642009088251,"May 2022","S","B",1.12274253881844,97.6555223458778,4.5814462081648,"Mine"
"Goshen Road","15",128.580467485348,"May 2022","S","C",0.875578700579666,146.8519818952,4.98942515360531,"Mine"
"Goshen Road","17",123.102757293005,"May 2022","W","B",0.455194051619962,270.44017129596,5.60005089561956,"Mine"
"Goshen Road","18",173.82503102071,"May 2022","W","C",0.661643066375536,262.717226030824,5.57107826755586,"Mine"
"Goshen Road","19",152.836415802539,"May 2022","S","C",0.323225348946938,472.84786388344,6.15877369591603,"Mine"
"Goshen Road","20",213.422829534662,"May 2022","S","C",0.709174499162308,300.945436964755,5.70692897577468,"Mine"
"Goshen Road","21",188.571592605877,"May 2022","S","B",0.475243012747743,396.789826568098,5.98340673639277,"Mine"
"Goshen Road","22",71.8524479825494,"May 2022","W","B",1.87436882234029,38.3342099623894,3.64634270801773,"Mine"
"Goshen Road","23",89.9661663492536,"May 2022","W","C",1.39948518776167,64.2851865357325,4.16332922423119,"Mine"
"Goshen Road","24",164.229836857799,"May 2022","W","C",1.31960985758443,124.453326802533,4.82393076049755,"Mine"
"Jackson Mill","1",147.61789671899,"May 2022","W","B",0.200679519697682,735.590243296236,6.60067322904274,"Agriculture"
"Jackson Mill","2",184.429121300817,"May 2022","W","C",1.15782556309919,159.289211759283,5.07072149183101,"Agriculture"
"Jackson Mill","3",216.493111688208,"May 2022","W","C",0.196611362670783,1101.12207528268,7.00408500730899,"Agriculture"
"Jackson Mill","6",133.458459031327,"May 2022","S","C",1.95460268788975,68.279072702705,4.22360331703005,"Agriculture"
"Jackson Mill","7",214.564661445654,"May 2022","S","B",0.685903734463944,312.820372108549,5.74562913477467,"Agriculture"
"Jackson Mill","10",141.070739498099,"May 2022","W","C",0.726869919784231,194.079759883276,5.26826920799009,"Agriculture"
"Jackson Mill","11",179.561782299885,"May 2022","W","C",1.80959994850161,99.2273361018637,4.5974135418726,"Agriculture"
"Jackson Mill","13",166.924151047568,"May 2022","S","B",0.173029848803086,964.713037676721,6.87183068683249,"Agriculture"
"Jackson Mill","14",198.700624297916,"May 2022","S","C",2.1821634431406,91.0567102214592,4.51148250166187,"Agriculture"
"Jackson Mill","15",180.263748763621,"May 2022","S","C",1.10750835680842,162.765136403212,5.09230828077767,"Agriculture"
"Jackson Mill","16",223.377412836811,"May 2022","W","B",0.161452169955584,1383.55162955235,7.23240911660249,"Agriculture"
"Jackson Mill","17",245.671193482736,"May 2022","W","C",0.308933792184395,795.222794326432,6.67862231982896,"Agriculture"
"Jackson Mill","19",181.335125830275,"May 2022","W","C",1.11725612081647,162.303989614984,5.08947105594969,"Agriculture"
"Jackson Mill","20",152.366621800852,"May 2022","W","B",0.557888715424433,273.112930210344,5.60988537342384,"Agriculture"
"Jackson Mill","21",194.582133723045,"May 2022","W","C",1.7782524748066,109.423232347368,4.69522322893568,"Agriculture"
"Jackson Mill","23",164.426056810322,"May 2022","S","C",0.932470982432838,176.333698214748,5.17237821245883,"Agriculture"
"Jackson Mill","24",208.583317728906,"May 2022","S","B",3.99670575145543,52.1888101602046,3.95486810716215,"Agriculture"
