site,plot,weight,poxc,,,,,,,,
allstar_mine_1,8,2.47,1271.339,,,,,,,,
allstar_mine_1,9,2.47,1211.466,,,,,,,,
allstar_mine_1,9,2.52,1214.514,,,,,,,,
allstar_mine_1,9,2.5,657.8352,,,,,,,,
allstar_mine_1,10,2.5,634.7232,,,,,,,,
allstar_mine_1,10,2.52,657.2,,,,,,,,
allstar_mine_1,10,2.51,1193.88,,,,,,,,
allstar_mine_1,11,2.46,1265.122,,,,,,,,
allstar_mine_1,11,2.54,1202.528,,,,,,,,
allstar_mine_1,11,2.54,435.5858,,,,,,,,
allstar_mine_1,12,2.52,529.0214,,,,,,,,
allstar_mine_1,12,2.52,401.1571,,,,,,,,
allstar_mine_1,12,2.48,985.079,,,,,,,,
allstar_mine_1,13,2.48,1009.14,,,,,,,,
allstar_mine_1,13,2.52,1007.329,,,,,,,,
allstar_mine_1,13,2.52,577.2,,,,,,,,
allstar_mine_1,14,2.5,444.8448,,,,,,,,
allstar_mine_1,14,2.5,481.5936,,,,,,,,
allstar_mine_1,14,2.48,758.2645,,,,,,,,
allstar_mine_1,15,2.5,798.9696,,,,,,,,
allstar_mine_1,15,2.5,788.9472,,,,,,,,
allstar_mine_1,15,2.52,722.4571,,,,,,,,
allstar_mine_1,16,2.53,679.1336,,,,,,,,
allstar_mine_1,16,2.49,817.9663,,,,,,,,
allstar_mine_1,16,2.5,587.1744,,,,,,,,
allstar_mine_1,17,2.53,656.6514,,,,,,,,
allstar_mine_1,17,2.47,833.8008,,,,,,,,
allstar_mine_1,17,2.46,480.7317,,,,,,,,
allstar_mine_1,18,2.47,497.7328,,,,,,,,
allstar_mine_1,18,2.48,453.2661,,,,,,,,
allstar_mine_1,18,2.5,1298.412,,,,,,,,
allstar_mine_1,19,2.52,1178.893,,,,,,,,
allstar_mine_1,19,2.48,1152.508,,,,,,,,
allstar_mine_1,19,2.55,1076.718,,,,,,,,
allstar_mine_1,20,2.51,685.1833,,,,,,,,
allstar_mine_1,20,2.48,668.25,,,,,,,,
allstar_mine_1,20,2.53,501.7589,,,,,,,,
allstar_mine_1,21,2.5,597.852,a,,,,,,,
allstar_mine_1,21,2.52,652.6786,a,,,,,,,
allstar_mine_1,22,2.5,793.008,,,,,,,,
allstar_mine_1,22,2.49,278.7108,,,,,,,,
allstar_mine_1,22,2.47,437.9757,,,,,,,,
