"site","plot","subsample_weight","POM...MAOM","fraction","pom_weight","crop","treatment","date","land_type","weight_bc"
"Allstar Mine 2",9,9.99,10.68,"POM",3.21,"Willow","Control","August 2022","Mine",1.12600733523984
"Allstar Mine 2",10,10.01,10.2,"POM",2.75,"Switchgrass","Biochar","August 2022","Mine",0.981214858218522
"Allstar Mine 2",11,10,9.73,"POM",2.71,"Switchgrass","Control","August 2022","Mine",0.967427796020348
"Allstar Mine 2",12,10.02,10.46,"POM",2.79,"Switchgrass","Control","August 2022","Mine",0.994790848346256
"Allstar Mine 2",13,9.99,10.47,"POM",3.86,"Switchgrass","Control","August 2022","Mine",1.29686337112838
"Allstar Mine 2",14,10.02,10.55,"POM",3.41,"Switchgrass","Control","August 2022","Mine",1.18222097669079
"Allstar Mine 2",15,10.02,10.11,"POM",3.6,"Switchgrass","Biochar","August 2022","Mine",1.23247495332579
"Allstar Mine 2",16,9.99,10.57,"POM",3.78,"Willow","Biochar","August 2022","Mine",1.27755403233709
"Allstar Mine 2",18,10,10.17,"POM",3.08,"Willow","Control","August 2022","Mine",1.08743894967781
"Goshen Road",1,9.98,9.88,"POM",4.4,"Switchgrass","Control","August 2022","Mine",1.4170319077669
"Goshen Road",2,10.01,10.18,"POM",4.14,"Switchgrass","Biochar","August 2022","Mine",1.36125115004577
"Goshen Road",3,9.99,10.49,"POM",4.32,"Switchgrass","Control","August 2022","Mine",1.40024927637723
"Goshen Road",4,10.02,10.92,"POM",4.01,"Willow","Control","August 2022","Mine",1.33195041188405
"Goshen Road",5,10.01,9.65,"POM",3.31,"Willow","Biochar","August 2022","Mine",1.15456452840224
"Goshen Road",6,10.02,11.68,"POM",4.84,"Willow","Control","August 2022","Mine",1.50390563140757
"Goshen Road",7,10.02,10.45,"POM",4.81,"Willow","Biochar","August 2022","Mine",1.49825364139104
"Goshen Road",8,10.01,10.71,"POM",4.64,"Willow","Control","August 2022","Mine",1.46550257296774
"Goshen Road",9,10.02,10.44,"POM",4.98,"Willow","Control","August 2022","Mine",1.52979938269093
"Goshen Road",10,10,10.1,"POM",4.92,"Switchgrass","Control","August 2022","Mine",1.51879781494883
"Goshen Road",11,10,10.55,"POM",5.37,"Switchgrass","Biochar","August 2022","Mine",1.59805080555784
"Goshen Road",12,10,10.38,"POM",5.2,"Switchgrass","Control","August 2022","Mine",1.56896882731003
"Goshen Road",14,10,10.6,"POM",6.12,"Switchgrass","Biochar","August 2022","Mine",1.71565665544831
"Goshen Road",15,9.99,10.04,"POM",3.43,"Switchgrass","Control","August 2022","Mine",1.18764897899742
"Goshen Road",16,10,10.33,"POM",5.55,"Willow","Control","August 2022","Mine",1.62779789690447
"Goshen Road",17,10.01,10.65,"POM",5.04,"Willow","Biochar","August 2022","Mine",1.54066125740541
"Goshen Road",18,9.99,10.39,"POM",4.83,"Willow","Control","August 2022","Mine",1.50202577309863
"Goshen Road",19,9.989,9.91,"POM",5.06,"Switchgrass","Control","August 2022","Mine",1.54425143157503
"Goshen Road",20,10,10.64,"POM",4.2,"Switchgrass","Control","August 2022","Mine",1.37444706110682
"Goshen Road",21,9.98,10.29,"POM",5.33,"Switchgrass","Biochar","August 2022","Mine",1.59129673230463
"Goshen Road",22,9.98,9.54,"POM",4.39,"Willow","Biochar","August 2022","Mine",1.41495185611016
"Goshen Road",23,10.01,11.11,"POM",5.34,"Willow","Control","August 2022","Mine",1.59299027816741
"Jackson Mill",1,10.02,10.48,"POM",2.09,"Willow","Biochar","August 2022","Agriculture",0.720939585346848
"Jackson Mill",2,10.02,10.54,"POM",2.05,"Willow","Control","August 2022","Agriculture",0.702448828150368
"Jackson Mill",3,10.01,9.92,"POM",1.93,"Willow","Control","August 2022","Agriculture",0.644591319903584
"Jackson Mill",4,9.98,10.69,"POM",2.24,"Switchgrass","Control","August 2022","Agriculture",0.787083899426202
"Jackson Mill",5,10.02,11.26,"POM",1.77,"Switchgrass","Biochar","August 2022","Agriculture",0.561213202392938
