"site","plot","bg","date","crop","treatment","land_type"
"Goshen Road","23",43.26,"June 2021","Willow","Control","Mine"
"Goshen Road","24",103.34,"June 2021","Willow","Control","Mine"
"Jackson Mill","1",212.34,"June 2021","Willow","Biochar","Agriculture"
"Jackson Mill","2",199.99,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","3",217.61,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","4",195.51,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","5",160.39,"June 2021","Switchgrass","Biochar","Agriculture"
"Jackson Mill","6",245.78,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","7",208.79,"June 2021","Switchgrass","Biochar","Agriculture"
"Jackson Mill","8",239.57,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","9",144.95,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","10",133.49,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","11",170.12,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","12",169.92,"June 2021","Willow","Biochar","Agriculture"
"Jackson Mill","13",111.34,"June 2021","Switchgrass","Biochar","Agriculture"
"Jackson Mill","14",169.62,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","16",198.42,"June 2021","Willow","Biochar","Agriculture"
"Jackson Mill","17",217.78,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","18",206.94,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","19",146.91,"June 2021","Willow","Control","Agriculture"
"Jackson Mill","22",108.46,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","23",159.08,"June 2021","Switchgrass","Control","Agriculture"
"Jackson Mill","24",137.24,"June 2021","Switchgrass","Biochar","Agriculture"
"Reedsville","1",141.41,"June 2021","Switchgrass","Control","Agriculture"
"Reedsville","2",187.91,"June 2021","Switchgrass","Control","Agriculture"
"Reedsville","4",195.67,"June 2021","Willow","Control","Agriculture"
"Reedsville","5",173.3,"June 2021","Willow","Biochar","Agriculture"
"Reedsville","6",123.09,"June 2021","Willow","Control","Agriculture"
"Reedsville","7",184.86,"June 2021","Switchgrass","Biochar","Agriculture"
"Reedsville","8",172.8,"June 2021","Switchgrass","Control","Agriculture"
"Reedsville","9",172.77,"June 2021","Switchgrass","Control","Agriculture"
"Reedsville","10",189.81,"June 2021","Willow","Biochar","Agriculture"
"Reedsville","11",159.14,"June 2021","Willow","Control","Agriculture"
"Reedsville","12",209.84,"June 2021","Willow","Control","Agriculture"
"Reedsville","13",144.99,"June 2021","Willow","Control","Agriculture"
"Reedsville","14",189.34,"June 2021","Willow","Biochar","Agriculture"
"Reedsville","15",176.89,"June 2021","Willow","Control","Agriculture"
"Reedsville","16",184.56,"June 2021","Switchgrass","Control","Agriculture"
"Reedsville","17",189.33,"June 2021","Switchgrass","Control","Agriculture"
"Reedsville","18",239.69,"June 2021","Switchgrass","Biochar","Agriculture"
"Reedsville","19",203.3,"June 2021","Willow","Control","Agriculture"
"Reedsville","20",102.31,"June 2021","Willow","Control","Agriculture"
"Reedsville","21",173.64,"June 2021","Willow","Biochar","Agriculture"
"Reedsville","22",187.83,"June 2021","Switchgrass","Biochar","Agriculture"
