"site","plot","subsample_weight","POM...MAOM","fraction","maom_weight","crop","treatment","date","land_type","cbrt_weight"
"Allstar Mine 2",7,10.01,10.3,"MAOM",7.29,"Willow","Control","August 2022","Mine",1.47361259945615
"Allstar Mine 2",8,10.02,10.44,"MAOM",7.04,"Willow","Biochar","August 2022","Mine",1.51102980787737
"Allstar Mine 2",9,9.99,10.68,"MAOM",7.47,"Willow","Control","August 2022","Mine",1.44544747339436
"Allstar Mine 2",10,10.01,10.2,"MAOM",7.45,"Switchgrass","Biochar","August 2022","Mine",1.44863128868835
"Allstar Mine 2",11,10,9.73,"MAOM",7.02,"Switchgrass","Control","August 2022","Mine",1.51394404809201
"Allstar Mine 2",12,10.02,10.46,"MAOM",7.67,"Switchgrass","Control","August 2022","Mine",1.41280764437412
"Allstar Mine 2",13,9.99,10.47,"MAOM",6.61,"Switchgrass","Control","August 2022","Mine",1.5713656015696
"Allstar Mine 2",14,10.02,10.55,"MAOM",7.14,"Switchgrass","Control","August 2022","Mine",1.49628711352849
"Allstar Mine 2",15,10.02,10.11,"MAOM",6.51,"Switchgrass","Biochar","August 2022","Mine",1.58475096181144
"Allstar Mine 2",16,9.99,10.57,"MAOM",6.79,"Willow","Biochar","August 2022","Mine",1.54668037377204
"Allstar Mine 2",17,10.02,6.28,"MAOM",6.28,"Willow","Control","August 2022","Mine",1.61470813002311
"Allstar Mine 2",18,10,10.17,"MAOM",7.09,"Willow","Control","August 2022","Mine",1.50369459620497
"Goshen Road",1,9.98,9.88,"MAOM",5.48,"Switchgrass","Control","August 2022","Mine",1.71111517149515
"Goshen Road",2,10.01,10.18,"MAOM",6.04,"Switchgrass","Biochar","August 2022","Mine",1.64482615655336
"Goshen Road",3,9.99,10.49,"MAOM",6.17,"Switchgrass","Control","August 2022","Mine",1.62865056995694
"Goshen Road",4,10.02,10.92,"MAOM",6.91,"Willow","Control","August 2022","Mine",1.52977540952735
"Goshen Road",5,10.01,9.65,"MAOM",6.34,"Willow","Biochar","August 2022","Mine",1.6070005752935
"Goshen Road",6,10.02,11.68,"MAOM",6.84,"Willow","Control","August 2022","Mine",1.53968172429709
"Goshen Road",7,10.02,10.45,"MAOM",5.64,"Willow","Biochar","August 2022","Mine",1.69270228137218
"Goshen Road",8,10.01,10.71,"MAOM",6.07,"Willow","Control","August 2022","Mine",1.64112158059555
"Goshen Road",9,10.02,10.44,"MAOM",5.46,"Willow","Control","August 2022","Mine",1.71338908137514
"Goshen Road",10,10,10.1,"MAOM",5.18,"Switchgrass","Control","August 2022","Mine",1.74460926164245
"Goshen Road",11,10,10.55,"MAOM",5.18,"Switchgrass","Biochar","August 2022","Mine",1.74460926164245
"Goshen Road",12,10,10.38,"MAOM",5.18,"Switchgrass","Control","August 2022","Mine",1.74460926164245
"Goshen Road",13,9.99,10.76,"MAOM",4.58,"Switchgrass","Control","August 2022","Mine",1.80798917945857
"Goshen Road",14,10,10.6,"MAOM",4.48,"Switchgrass","Biochar","August 2022","Mine",1.81812954395163
"Goshen Road",15,9.99,10.04,"MAOM",6.61,"Switchgrass","Control","August 2022","Mine",1.5713656015696
"Goshen Road",17,10.01,10.65,"MAOM",5.61,"Willow","Biochar","August 2022","Mine",1.69618521769762
"Goshen Road",18,9.99,10.39,"MAOM",5.56,"Willow","Control","August 2022","Mine",1.70195852707763
"Goshen Road",19,9.989,9.91,"MAOM",4.85,"Switchgrass","Control","August 2022","Mine",1.78002609059935
"Goshen Road",20,10,10.64,"MAOM",6.44,"Switchgrass","Control","August 2022","Mine",1.59398785377392
"Goshen Road",21,9.98,10.29,"MAOM",4.96,"Switchgrass","Biochar","August 2022","Mine",1.76837775757274
"Goshen Road",22,9.98,9.54,"MAOM",5.15,"Willow","Biochar","August 2022","Mine",1.74788861007713
"Goshen Road",23,10.01,11.11,"MAOM",5.77,"Willow","Control","August 2022","Mine",1.67744130530543
"Jackson Mill",1,10.02,10.48,"MAOM",8.39,"Willow","Biochar","August 2022","Agriculture",1.28057916498749
"Jackson Mill",2,10.02,10.54,"MAOM",8.49,"Willow","Control","August 2022","Agriculture",1.25992104989487
"Jackson Mill",3,10.01,9.92,"MAOM",7.99,"Willow","Control","August 2022","Agriculture",1.35720880829745
"Jackson Mill",4,9.98,10.69,"MAOM",8.45,"Switchgrass","Control","August 2022","Agriculture",1.268265141077
"Jackson Mill",5,10.02,11.26,"MAOM",9.49,"Switchgrass","Biochar","August 2022","Agriculture",1
"Jackson Mill",6,10.02,10.68,"MAOM",8.46,"Switchgrass","Control","August 2022","Agriculture",1.26618941700536
"Jackson Mill",7,10.01,10.13,"MAOM",8.02,"Switchgrass","Biochar","August 2022","Agriculture",1.35175811178595
